tau	PRB	PRL	PRP	PRPD
TRINITY_DN250644_c4_g7	1	0	0	0	1
TRINITY_DN250646_c0_g1	1	0	0	0	1
TRINITY_DN250719_c0_g1	1	0	0	0	1
TRINITY_DN250760_c1_g1	1	0	0	0	1
TRINITY_DN250840_c0_g1	1	0	0	0	1
TRINITY_DN250875_c0_g1	1	0	0	0	1
TRINITY_DN250892_c1_g2	1	0	0	0	1
TRINITY_DN250905_c0_g2	1	0	0	0	1
TRINITY_DN250964_c0_g2	1	0	0	0	1
TRINITY_DN250974_c0_g3	1	0	0	0	1
TRINITY_DN251007_c0_g1	1	0	0	0	1
TRINITY_DN251135_c0_g2	1	0	0	0	1
TRINITY_DN251231_c0_g1	1	0	0	0	1
TRINITY_DN251255_c0_g1	1	0	0	0	1
TRINITY_DN251265_c0_g1	1	0	0	0	1
TRINITY_DN251265_c0_g3	1	0	0	0	1
TRINITY_DN251296_c0_g1	1	0	0	0	1
TRINITY_DN251304_c0_g1	1	0	0	0	1
TRINITY_DN251351_c0_g1	1	0	0	0	1
TRINITY_DN251378_c0_g1	1	0	0	0	1
TRINITY_DN251398_c1_g2	1	0	0	0	1
TRINITY_DN251401_c1_g1	1	0	0	0	1
TRINITY_DN251444_c0_g1	1	0	0	0	1
TRINITY_DN251472_c0_g1	1	0	0	0	1
TRINITY_DN251506_c2_g2	1	0	0	0	1
TRINITY_DN251513_c0_g1	1	0	0	0	1
TRINITY_DN251521_c1_g2	1	0	0	0	1
TRINITY_DN251556_c0_g1	1	0	0	0	1
TRINITY_DN251707_c1_g1	1	0	0	0	1
TRINITY_DN251722_c0_g1	1	0	0	0	1
TRINITY_DN251773_c0_g1	1	0	0	0	1
TRINITY_DN251775_c0_g3	1	0	0	0	1
TRINITY_DN251793_c0_g3	1	0	0	0	1
TRINITY_DN251814_c0_g1	1	0	0	0	1
TRINITY_DN251858_c0_g1	1	0	0	0	1
TRINITY_DN251909_c1_g1	1	0	0	0	1
TRINITY_DN251953_c0_g1	1	0	0	0	1
TRINITY_DN251953_c0_g2	1	0	0	0	1
TRINITY_DN252040_c0_g1	1	0	0	0	1
TRINITY_DN252049_c0_g1	1	0	0	0	1
TRINITY_DN252066_c0_g2	1	0	0	0	1
TRINITY_DN252066_c0_g6	1	0	0	0	1
TRINITY_DN252087_c0_g1	1	0	0	0	1
TRINITY_DN252104_c3_g14	1	0	0	0	1
TRINITY_DN252116_c0_g6	1	0	0	0	1
TRINITY_DN252119_c0_g2	1	0	0	0	1
TRINITY_DN252180_c0_g1	1	0	0	0	1
TRINITY_DN252192_c1_g3	1	0	0	0	1
TRINITY_DN252227_c0_g6	1	0	0	0	1
TRINITY_DN252271_c0_g1	1	0	0	0	1
TRINITY_DN252358_c0_g1	1	0	0	0	1
TRINITY_DN252372_c0_g1	1	0	0	0	1
TRINITY_DN252389_c0_g1	1	0	0	0	1
TRINITY_DN252468_c0_g1	1	0	0	0	1
TRINITY_DN252484_c0_g1	1	0	0	0	1
TRINITY_DN252511_c0_g1	1	0	0	0	1
TRINITY_DN252528_c1_g4	1	0	0	0	1
TRINITY_DN252533_c0_g1	1	0	0	0	1
TRINITY_DN252580_c2_g1	1	0	0	0	1
TRINITY_DN252674_c0_g1	1	0	0	0	1
TRINITY_DN252675_c0_g2	1	0	0	0	1
TRINITY_DN252681_c0_g1	1	0	0	0	1
TRINITY_DN252683_c0_g1	1	0	0	0	1
TRINITY_DN252694_c0_g1	1	0	0	0	1
TRINITY_DN252695_c0_g3	1	0	0	0	1
