tau	PRB	PRL	PRP	PRPD
TRINITY_DN234412_c0_g1	1	1	0	0	0
TRINITY_DN234553_c1_g1	1	1	0	0	0
TRINITY_DN235031_c0_g1	1	1	0	0	0
TRINITY_DN235059_c0_g3	1	1	0	0	0
TRINITY_DN235060_c0_g3	1	1	0	0	0
TRINITY_DN235082_c0_g2	1	1	0	0	0
TRINITY_DN235082_c1_g3	1	1	0	0	0
TRINITY_DN235099_c0_g1	1	1	0	0	0
TRINITY_DN235342_c0_g1	1	1	0	0	0
TRINITY_DN235485_c1_g1	1	1	0	0	0
TRINITY_DN235496_c0_g1	1	1	0	0	0
TRINITY_DN235530_c0_g1	1	1	0	0	0
TRINITY_DN235534_c0_g1	1	1	0	0	0
TRINITY_DN235536_c1_g1	1	1	0	0	0
TRINITY_DN235744_c0_g1	1	1	0	0	0
TRINITY_DN235839_c0_g1	1	1	0	0	0
TRINITY_DN236129_c0_g3	1	1	0	0	0
TRINITY_DN236147_c1_g1	1	1	0	0	0
TRINITY_DN236353_c0_g1	1	1	0	0	0
TRINITY_DN236407_c1_g3	1	1	0	0	0
TRINITY_DN236471_c1_g1	1	1	0	0	0
TRINITY_DN236478_c4_g22	1	1	0	0	0
TRINITY_DN236478_c4_g33	1	1	0	0	0
TRINITY_DN236487_c0_g1	1	1	0	0	0
TRINITY_DN236550_c0_g1	1	1	0	0	0
TRINITY_DN236630_c0_g2	1	1	0	0	0
TRINITY_DN236697_c0_g2	1	1	0	0	0
TRINITY_DN237076_c0_g1	1	1	0	0	0
TRINITY_DN237082_c3_g1	1	1	0	0	0
TRINITY_DN237214_c2_g5	1	1	0	0	0
TRINITY_DN237377_c1_g3	1	1	0	0	0
TRINITY_DN237482_c0_g1	1	1	0	0	0
TRINITY_DN237485_c0_g1	1	1	0	0	0
TRINITY_DN237522_c0_g1	1	1	0	0	0
TRINITY_DN237522_c0_g2	1	1	0	0	0
TRINITY_DN237612_c0_g2	1	1	0	0	0
TRINITY_DN237744_c0_g1	1	1	0	0	0
TRINITY_DN237744_c0_g2	1	1	0	0	0
TRINITY_DN237973_c0_g2	1	1	0	0	0
TRINITY_DN238011_c0_g1	1	1	0	0	0
TRINITY_DN238365_c0_g1	1	1	0	0	0
TRINITY_DN238365_c0_g2	1	1	0	0	0
TRINITY_DN238395_c0_g1	1	1	0	0	0
TRINITY_DN238413_c0_g2	1	1	0	0	0
TRINITY_DN238428_c0_g1	1	1	0	0	0
TRINITY_DN238484_c0_g1	1	1	0	0	0
TRINITY_DN238624_c0_g1	1	1	0	0	0
TRINITY_DN238709_c0_g1	1	1	0	0	0
TRINITY_DN238725_c0_g1	1	1	0	0	0
TRINITY_DN238730_c0_g1	1	1	0	0	0
TRINITY_DN238867_c0_g2	1	1	0	0	0
TRINITY_DN239034_c0_g1	1	1	0	0	0
TRINITY_DN239063_c0_g1	1	1	0	0	0
TRINITY_DN239063_c0_g6	1	1	0	0	0
TRINITY_DN239254_c0_g1	1	1	0	0	0
TRINITY_DN239278_c0_g1	1	1	0	0	0
TRINITY_DN239464_c0_g4	1	1	0	0	0
TRINITY_DN239570_c0_g1	1	1	0	0	0
TRINITY_DN239589_c0_g1	1	1	0	0	0
TRINITY_DN239589_c0_g3	1	1	0	0	0
TRINITY_DN239745_c0_g1	1	1	0	0	0
TRINITY_DN239815_c1_g1	1	1	0	0	0
TRINITY_DN239818_c0_g2	1	1	0	0	0
TRINITY_DN239849_c0_g1	1	1	0	0	0
TRINITY_DN239849_c0_g2	1	1	0	0	0
TRINITY_DN239849_c0_g3	1	1	0	0	0
TRINITY_DN239911_c0_g1	1	1	0	0	0
TRINITY_DN239973_c0_g2	1	1	0	0	0
TRINITY_DN240158_c0_g1	1	1	0	0	0
TRINITY_DN240322_c0_g1	1	1	0	0	0
TRINITY_DN240358_c1_g3	1	1	0	0	0
TRINITY_DN240375_c0_g2	1	1	0	0	0
TRINITY_DN240391_c0_g1	1	1	0	0	0
TRINITY_DN240407_c0_g1	1	1	0	0	0
TRINITY_DN240429_c0_g2	1	1	0	0	0
TRINITY_DN240474_c0_g1	1	1	0	0	0
TRINITY_DN240556_c0_g3	1	1	0	0	0
TRINITY_DN240592_c1_g1	1	1	0	0	0
TRINITY_DN240641_c0_g9	1	1	0	0	0
TRINITY_DN240667_c1_g1	1	1	0	0	0
TRINITY_DN240745_c0_g2	1	1	0	0	0
TRINITY_DN240792_c1_g1	1	1	0	0	0
TRINITY_DN240885_c0_g1	1	1	0	0	0
TRINITY_DN240885_c0_g3	1	1	0	0	0
TRINITY_DN240901_c0_g1	1	1	0	0	0
TRINITY_DN240956_c0_g2	1	1	0	0	0
TRINITY_DN241038_c0_g1	1	1	0	0	0
TRINITY_DN241075_c0_g2	1	1	0	0	0
TRINITY_DN241151_c0_g1	1	1	0	0	0
TRINITY_DN241165_c0_g1	1	1	0	0	0
TRINITY_DN241206_c1_g1	1	1	0	0	0
TRINITY_DN241246_c0_g1	1	1	0	0	0
TRINITY_DN241246_c0_g2	1	1	0	0	0
TRINITY_DN241254_c0_g1	1	1	0	0	0
TRINITY_DN241331_c0_g1	1	1	0	0	0
TRINITY_DN241335_c0_g1	1	1	0	0	0
TRINITY_DN241429_c0_g1	1	1	0	0	0
TRINITY_DN241596_c0_g2	1	1	0	0	0
TRINITY_DN241610_c0_g1	1	1	0	0	0
TRINITY_DN241651_c0_g3	1	1	0	0	0
TRINITY_DN241853_c0_g3	1	1	0	0	0
TRINITY_DN241908_c0_g1	1	1	0	0	0
TRINITY_DN242024_c0_g1	1	1	0	0	0
TRINITY_DN242143_c0_g2	1	1	0	0	0
TRINITY_DN242143_c0_g3	1	1	0	0	0
TRINITY_DN242176_c0_g1	1	1	0	0	0
TRINITY_DN242211_c0_g2	1	1	0	0	0
TRINITY_DN242290_c0_g1	1	1	0	0	0
TRINITY_DN242355_c0_g1	1	1	0	0	0
TRINITY_DN242406_c0_g2	1	1	0	0	0
TRINITY_DN242509_c0_g2	1	1	0	0	0
TRINITY_DN2426_c18_g1	1	1	0	0	0
TRINITY_DN242672_c1_g1	1	1	0	0	0
TRINITY_DN242693_c0_g1	1	1	0	0	0
TRINITY_DN242708_c0_g1	1	1	0	0	0
TRINITY_DN242765_c0_g2	1	1	0	0	0
TRINITY_DN242794_c0_g1	1	1	0	0	0
TRINITY_DN242816_c0_g1	1	1	0	0	0
TRINITY_DN242837_c0_g2	1	1	0	0	0
TRINITY_DN242842_c0_g3	1	1	0	0	0
TRINITY_DN242913_c0_g2	1	1	0	0	0
TRINITY_DN242960_c0_g2	1	1	0	0	0
TRINITY_DN243027_c0_g1	1	1	0	0	0
TRINITY_DN243117_c0_g1	1	1	0	0	0
TRINITY_DN243117_c0_g2	1	1	0	0	0
TRINITY_DN243117_c0_g3	1	1	0	0	0
TRINITY_DN243134_c0_g1	1	1	0	0	0
TRINITY_DN243141_c0_g1	1	1	0	0	0
TRINITY_DN243141_c0_g2	1	1	0	0	0
TRINITY_DN243350_c2_g8	1	1	0	0	0
TRINITY_DN243359_c1_g2	1	1	0	0	0
TRINITY_DN243366_c0_g1	1	1	0	0	0
TRINITY_DN243366_c0_g2	1	1	0	0	0
TRINITY_DN243402_c0_g1	1	1	0	0	0
TRINITY_DN243438_c0_g1	1	1	0	0	0
TRINITY_DN243610_c0_g1	1	1	0	0	0
TRINITY_DN243612_c3_g1	1	1	0	0	0
TRINITY_DN243623_c0_g1	1	1	0	0	0
TRINITY_DN243625_c0_g1	1	1	0	0	0
TRINITY_DN243704_c0_g1	1	1	0	0	0
TRINITY_DN243716_c0_g1	1	1	0	0	0
TRINITY_DN243768_c0_g1	1	1	0	0	0
TRINITY_DN243807_c0_g1	1	1	0	0	0
TRINITY_DN243869_c0_g1	1	1	0	0	0
TRINITY_DN243881_c0_g1	1	1	0	0	0
TRINITY_DN243893_c0_g1	1	1	0	0	0
TRINITY_DN243939_c0_g1	1	1	0	0	0
TRINITY_DN243942_c0_g1	1	1	0	0	0
TRINITY_DN243960_c0_g1	1	1	0	0	0
TRINITY_DN244078_c0_g2	1	1	0	0	0
TRINITY_DN244089_c0_g1	1	1	0	0	0
TRINITY_DN244101_c0_g1	1	1	0	0	0
TRINITY_DN244121_c0_g1	1	1	0	0	0
TRINITY_DN244172_c2_g2	1	1	0	0	0
TRINITY_DN244189_c0_g1	1	1	0	0	0
TRINITY_DN244206_c44_g36	1	1	0	0	0
TRINITY_DN244208_c0_g1	1	1	0	0	0
TRINITY_DN244229_c0_g1	1	1	0	0	0
TRINITY_DN244255_c0_g2	1	1	0	0	0
TRINITY_DN244294_c0_g2	1	1	0	0	0
TRINITY_DN244321_c0_g1	1	1	0	0	0
TRINITY_DN244346_c0_g1	1	1	0	0	0
TRINITY_DN244348_c0_g1	1	1	0	0	0
TRINITY_DN244415_c0_g1	1	1	0	0	0
TRINITY_DN244442_c0_g1	1	1	0	0	0
TRINITY_DN244452_c1_g1	1	1	0	0	0
TRINITY_DN244469_c0_g2	1	1	0	0	0
TRINITY_DN244555_c0_g1	1	1	0	0	0
TRINITY_DN244566_c0_g1	1	1	0	0	0
TRINITY_DN244574_c0_g2	1	1	0	0	0
TRINITY_DN244670_c0_g1	1	1	0	0	0
TRINITY_DN244712_c0_g1	1	1	0	0	0
TRINITY_DN244713_c0_g1	1	1	0	0	0
TRINITY_DN244746_c0_g1	1	1	0	0	0
TRINITY_DN244793_c0_g1	1	1	0	0	0
TRINITY_DN244857_c0_g1	1	1	0	0	0
TRINITY_DN244908_c0_g1	1	1	0	0	0
TRINITY_DN244932_c0_g1	1	1	0	0	0
TRINITY_DN244951_c0_g1	1	1	0	0	0
TRINITY_DN244986_c0_g2	1	1	0	0	0
TRINITY_DN245006_c2_g6	1	1	0	0	0
TRINITY_DN245007_c0_g1	1	1	0	0	0
TRINITY_DN245070_c0_g2	1	1	0	0	0
TRINITY_DN245102_c0_g8	1	1	0	0	0
TRINITY_DN245166_c0_g2	1	1	0	0	0
TRINITY_DN245249_c0_g1	1	1	0	0	0
TRINITY_DN245269_c0_g2	1	1	0	0	0
TRINITY_DN245269_c0_g3	1	1	0	0	0
TRINITY_DN245269_c0_g4	1	1	0	0	0
TRINITY_DN245304_c0_g1	1	1	0	0	0
TRINITY_DN245348_c0_g1	1	1	0	0	0
TRINITY_DN245348_c0_g2	1	1	0	0	0
TRINITY_DN245391_c0_g1	1	1	0	0	0
TRINITY_DN245427_c0_g2	1	1	0	0	0
TRINITY_DN245442_c0_g1	1	1	0	0	0
TRINITY_DN245501_c0_g2	1	1	0	0	0
TRINITY_DN245513_c0_g1	1	1	0	0	0
TRINITY_DN245542_c0_g1	1	1	0	0	0
TRINITY_DN245587_c0_g1	1	1	0	0	0
TRINITY_DN245630_c0_g1	1	1	0	0	0
TRINITY_DN245670_c1_g1	1	1	0	0	0
TRINITY_DN245672_c0_g1	1	1	0	0	0
TRINITY_DN245680_c0_g1	1	1	0	0	0
TRINITY_DN245682_c0_g1	1	1	0	0	0
TRINITY_DN245684_c0_g1	1	1	0	0	0
