tau	PRB	PRP	PRPD
TRINITY_DN244397_c0_g3	1	0	0	1
TRINITY_DN244452_c1_g2	1	0	0	1
TRINITY_DN244471_c0_g1	1	0	0	1
TRINITY_DN244579_c0_g1	1	0	0	1
TRINITY_DN244583_c0_g7	1	0	0	1
TRINITY_DN244722_c0_g1	1	0	0	1
TRINITY_DN244810_c1_g3	1	0	0	1
TRINITY_DN245057_c0_g1	1	0	0	1
TRINITY_DN245106_c0_g1	1	0	0	1
TRINITY_DN245106_c0_g2	1	0	0	1
TRINITY_DN245128_c0_g1	1	0	0	1
TRINITY_DN245137_c0_g1	1	0	0	1
TRINITY_DN245139_c0_g1	1	0	0	1
TRINITY_DN245275_c0_g1	1	0	0	1
TRINITY_DN245315_c0_g1	1	0	0	1
TRINITY_DN245325_c1_g2	1	0	0	1
TRINITY_DN245326_c0_g1	1	0	0	1
TRINITY_DN245374_c0_g1	1	0	0	1
TRINITY_DN245406_c0_g2	1	0	0	1
TRINITY_DN245428_c0_g1	1	0	0	1
TRINITY_DN245449_c60_g13	1	0	0	1
TRINITY_DN245449_c63_g43	1	0	0	1
TRINITY_DN245449_c63_g60	1	0	0	1
TRINITY_DN245506_c0_g2	1	0	0	1
TRINITY_DN245568_c4_g7	1	0	0	1
TRINITY_DN245607_c1_g1	1	0	0	1
TRINITY_DN245610_c0_g1	1	0	0	1
TRINITY_DN245678_c1_g4	1	0	0	1
TRINITY_DN245870_c0_g1	1	0	0	1
TRINITY_DN245887_c1_g6	1	0	0	1
TRINITY_DN245976_c0_g2	1	0	0	1
TRINITY_DN246231_c0_g1	1	0	0	1
TRINITY_DN246246_c0_g1	1	0	0	1
TRINITY_DN246285_c0_g1	1	0	0	1
TRINITY_DN246313_c1_g1	1	0	0	1
TRINITY_DN246315_c0_g1	1	0	0	1
TRINITY_DN246441_c0_g1	1	0	0	1
TRINITY_DN246441_c0_g3	1	0	0	1
TRINITY_DN246471_c1_g4	1	0	0	1
TRINITY_DN246477_c0_g1	1	0	0	1
TRINITY_DN246562_c0_g1	1	0	0	1
TRINITY_DN246706_c59_g101	1	0	0	1
TRINITY_DN246706_c59_g52	1	0	0	1
TRINITY_DN246706_c59_g78	1	0	0	1
TRINITY_DN246706_c59_g88	1	0	0	1
TRINITY_DN246706_c59_g91	1	0	0	1
