tau	PRB	PRL	PRP	PRPD
TRINITY_DN101046_c0_g1	1	0	1	0	0
TRINITY_DN101050_c1_g1	1	0	1	0	0
TRINITY_DN101051_c0_g1	1	0	1	0	0
TRINITY_DN101062_c0_g1	1	0	1	0	0
TRINITY_DN101063_c0_g1	1	0	1	0	0
TRINITY_DN101066_c0_g1	1	0	1	0	0
TRINITY_DN101066_c0_g2	1	0	1	0	0
TRINITY_DN101073_c0_g1	1	0	1	0	0
TRINITY_DN101089_c0_g1	1	0	1	0	0
TRINITY_DN101094_c0_g1	1	0	1	0	0
TRINITY_DN1011_c0_g1	1	0	1	0	0
TRINITY_DN101106_c0_g1	1	0	1	0	0
TRINITY_DN101107_c0_g1	1	0	1	0	0
TRINITY_DN101108_c0_g2	1	0	1	0	0
TRINITY_DN101112_c0_g1	1	0	1	0	0
TRINITY_DN101115_c0_g1	1	0	1	0	0
TRINITY_DN101117_c0_g2	1	0	1	0	0
TRINITY_DN10112_c0_g1	1	0	1	0	0
TRINITY_DN101123_c0_g2	1	0	1	0	0
TRINITY_DN101127_c0_g1	1	0	1	0	0
TRINITY_DN101133_c0_g1	1	0	1	0	0
TRINITY_DN101138_c0_g1	1	0	1	0	0
TRINITY_DN101142_c0_g1	1	0	1	0	0
TRINITY_DN101145_c0_g1	1	0	1	0	0
TRINITY_DN101148_c0_g1	1	0	1	0	0
TRINITY_DN101149_c0_g1	1	0	1	0	0
TRINITY_DN101151_c0_g1	1	0	1	0	0
TRINITY_DN101152_c0_g1	1	0	1	0	0
TRINITY_DN101154_c0_g1	1	0	1	0	0
TRINITY_DN101154_c0_g2	1	0	1	0	0
TRINITY_DN101157_c0_g1	1	0	1	0	0
TRINITY_DN101160_c0_g2	1	0	1	0	0
TRINITY_DN101163_c0_g1	1	0	1	0	0
TRINITY_DN10117_c0_g1	1	0	1	0	0
TRINITY_DN101172_c0_g1	1	0	1	0	0
TRINITY_DN10118_c0_g1	1	0	1	0	0
TRINITY_DN101187_c0_g1	1	0	1	0	0
TRINITY_DN101193_c0_g1	1	0	1	0	0
TRINITY_DN101193_c0_g2	1	0	1	0	0
TRINITY_DN101197_c0_g1	1	0	1	0	0
TRINITY_DN101198_c0_g1	1	0	1	0	0
TRINITY_DN10120_c0_g1	1	0	1	0	0
TRINITY_DN101203_c0_g1	1	0	1	0	0
TRINITY_DN101205_c0_g1	1	0	1	0	0
TRINITY_DN101206_c0_g1	1	0	1	0	0
TRINITY_DN10121_c1_g1	1	0	1	0	0
TRINITY_DN101211_c0_g1	1	0	1	0	0
TRINITY_DN101219_c0_g1	1	0	1	0	0
TRINITY_DN101247_c0_g1	1	0	1	0	0
TRINITY_DN101250_c0_g1	1	0	1	0	0
TRINITY_DN101252_c0_g1	1	0	1	0	0
TRINITY_DN101255_c0_g1	1	0	1	0	0
TRINITY_DN101258_c0_g1	1	0	1	0	0
TRINITY_DN101260_c0_g1	1	0	1	0	0
TRINITY_DN101267_c0_g1	1	0	1	0	0
TRINITY_DN101276_c1_g1	1	0	1	0	0
TRINITY_DN101278_c0_g1	1	0	1	0	0
TRINITY_DN101280_c0_g1	1	0	1	0	0
TRINITY_DN101284_c0_g1	1	0	1	0	0
TRINITY_DN101286_c0_g1	1	0	1	0	0
TRINITY_DN101294_c0_g1	1	0	1	0	0
TRINITY_DN101301_c0_g1	1	0	1	0	0
TRINITY_DN101302_c0_g1	1	0	1	0	0
TRINITY_DN101303_c0_g1	1	0	1	0	0
TRINITY_DN101303_c0_g2	1	0	1	0	0
TRINITY_DN101311_c0_g1	1	0	1	0	0
TRINITY_DN101315_c0_g1	1	0	1	0	0
TRINITY_DN101315_c4_g1	1	0	1	0	0
TRINITY_DN101315_c5_g1	1	0	1	0	0
TRINITY_DN101315_c5_g2	1	0	1	0	0
TRINITY_DN101322_c0_g1	1	0	1	0	0
TRINITY_DN101327_c0_g1	1	0	1	0	0
TRINITY_DN101339_c0_g1	1	0	1	0	0
TRINITY_DN101356_c0_g1	1	0	1	0	0
TRINITY_DN101366_c0_g1	1	0	1	0	0
TRINITY_DN10138_c0_g1	1	0	1	0	0
TRINITY_DN101387_c0_g1	1	0	1	0	0
TRINITY_DN101389_c0_g1	1	0	1	0	0
TRINITY_DN101393_c0_g1	1	0	1	0	0
TRINITY_DN101403_c0_g1	1	0	1	0	0
TRINITY_DN101408_c0_g1	1	0	1	0	0
TRINITY_DN101412_c0_g1	1	0	1	0	0
TRINITY_DN101413_c0_g1	1	0	1	0	0
TRINITY_DN101417_c0_g1	1	0	1	0	0
TRINITY_DN101418_c0_g1	1	0	1	0	0
TRINITY_DN101423_c0_g1	1	0	1	0	0
TRINITY_DN101425_c0_g2	1	0	1	0	0
TRINITY_DN10143_c0_g1	1	0	1	0	0
TRINITY_DN101431_c0_g1	1	0	1	0	0
TRINITY_DN101431_c0_g2	1	0	1	0	0
TRINITY_DN101457_c0_g1	1	0	1	0	0
TRINITY_DN10146_c0_g1	1	0	1	0	0
TRINITY_DN101460_c0_g1	1	0	1	0	0
TRINITY_DN101462_c0_g1	1	0	1	0	0
TRINITY_DN10147_c0_g1	1	0	1	0	0
TRINITY_DN101471_c0_g1	1	0	1	0	0
TRINITY_DN101475_c0_g1	1	0	1	0	0
TRINITY_DN101484_c0_g1	1	0	1	0	0
TRINITY_DN101489_c0_g1	1	0	1	0	0
TRINITY_DN101490_c0_g1	1	0	1	0	0
TRINITY_DN1015_c0_g1	1	0	1	0	0
TRINITY_DN101504_c0_g1	1	0	1	0	0
TRINITY_DN101505_c0_g1	1	0	1	0	0
TRINITY_DN101515_c0_g1	1	0	1	0	0
TRINITY_DN101521_c0_g1	1	0	1	0	0
TRINITY_DN101522_c0_g1	1	0	1	0	0
TRINITY_DN101531_c0_g1	1	0	1	0	0
TRINITY_DN101534_c0_g1	1	0	1	0	0
TRINITY_DN101544_c0_g1	1	0	1	0	0
TRINITY_DN101553_c0_g1	1	0	1	0	0
TRINITY_DN101569_c0_g1	1	0	1	0	0
TRINITY_DN101570_c0_g1	1	0	1	0	0
TRINITY_DN101575_c0_g1	1	0	1	0	0
TRINITY_DN101579_c0_g1	1	0	1	0	0
TRINITY_DN10159_c0_g1	1	0	1	0	0
TRINITY_DN101593_c0_g1	1	0	1	0	0
TRINITY_DN101599_c0_g1	1	0	1	0	0
TRINITY_DN1016_c0_g1	1	0	1	0	0
TRINITY_DN101604_c0_g1	1	0	1	0	0
TRINITY_DN101613_c0_g1	1	0	1	0	0
TRINITY_DN101617_c0_g1	1	0	1	0	0
TRINITY_DN101625_c0_g1	1	0	1	0	0
TRINITY_DN101628_c0_g1	1	0	1	0	0
TRINITY_DN101638_c0_g1	1	0	1	0	0
TRINITY_DN101644_c0_g1	1	0	1	0	0
TRINITY_DN10165_c0_g1	1	0	1	0	0
TRINITY_DN101650_c0_g1	1	0	1	0	0
TRINITY_DN101657_c0_g1	1	0	1	0	0
TRINITY_DN101663_c0_g1	1	0	1	0	0
TRINITY_DN101664_c0_g1	1	0	1	0	0
TRINITY_DN101667_c0_g1	1	0	1	0	0
TRINITY_DN101668_c0_g1	1	0	1	0	0
TRINITY_DN101690_c1_g1	1	0	1	0	0
TRINITY_DN101690_c1_g3	1	0	1	0	0
TRINITY_DN101690_c1_g4	1	0	1	0	0
TRINITY_DN101695_c0_g2	1	0	1	0	0
TRINITY_DN101703_c0_g1	1	0	1	0	0
TRINITY_DN101726_c0_g1	1	0	1	0	0
TRINITY_DN101729_c0_g1	1	0	1	0	0
TRINITY_DN101738_c0_g1	1	0	1	0	0
TRINITY_DN101738_c1_g1	1	0	1	0	0
TRINITY_DN101752_c0_g1	1	0	1	0	0
TRINITY_DN101754_c0_g1	1	0	1	0	0
TRINITY_DN101754_c1_g1	1	0	1	0	0
TRINITY_DN101754_c1_g2	1	0	1	0	0
TRINITY_DN101761_c0_g1	1	0	1	0	0
TRINITY_DN101766_c0_g1	1	0	1	0	0
TRINITY_DN101770_c0_g2	1	0	1	0	0
TRINITY_DN101788_c0_g1	1	0	1	0	0
TRINITY_DN101790_c0_g1	1	0	1	0	0
TRINITY_DN101792_c0_g1	1	0	1	0	0
TRINITY_DN101796_c0_g1	1	0	1	0	0
TRINITY_DN101796_c1_g1	1	0	1	0	0
