tau	PRB	PRP	PRPD
TRINITY_DN233263_c2_g14	1	1	0	0
TRINITY_DN233482_c0_g1	1	1	0	0
TRINITY_DN233879_c0_g1	1	1	0	0
TRINITY_DN233892_c0_g1	1	1	0	0
TRINITY_DN233970_c0_g1	1	1	0	0
TRINITY_DN234160_c1_g9	1	1	0	0
TRINITY_DN234190_c0_g1	1	1	0	0
TRINITY_DN234193_c0_g1	1	1	0	0
TRINITY_DN234309_c0_g3	1	1	0	0
TRINITY_DN23434_c0_g1	1	1	0	0
TRINITY_DN23434_c0_g2	1	1	0	0
TRINITY_DN234487_c0_g1	1	1	0	0
TRINITY_DN235031_c0_g1	1	1	0	0
TRINITY_DN235059_c0_g3	1	1	0	0
TRINITY_DN235082_c0_g2	1	1	0	0
TRINITY_DN235082_c1_g3	1	1	0	0
TRINITY_DN235186_c0_g3	1	1	0	0
TRINITY_DN235342_c0_g1	1	1	0	0
TRINITY_DN235485_c1_g1	1	1	0	0
TRINITY_DN235530_c0_g1	1	1	0	0
TRINITY_DN235534_c0_g1	1	1	0	0
TRINITY_DN235630_c0_g2	1	1	0	0
TRINITY_DN235839_c0_g1	1	1	0	0
TRINITY_DN236129_c0_g3	1	1	0	0
TRINITY_DN236147_c1_g1	1	1	0	0
TRINITY_DN236353_c0_g1	1	1	0	0
TRINITY_DN236407_c1_g3	1	1	0	0
TRINITY_DN236487_c0_g1	1	1	0	0
TRINITY_DN236550_c0_g1	1	1	0	0
TRINITY_DN236630_c0_g2	1	1	0	0
TRINITY_DN236697_c0_g2	1	1	0	0
TRINITY_DN2367_c0_g2	1	1	0	0
TRINITY_DN236804_c0_g2	1	1	0	0
TRINITY_DN237082_c3_g1	1	1	0	0
TRINITY_DN237214_c2_g5	1	1	0	0
TRINITY_DN237377_c1_g3	1	1	0	0
TRINITY_DN237482_c0_g1	1	1	0	0
TRINITY_DN237485_c0_g1	1	1	0	0
TRINITY_DN237522_c0_g2	1	1	0	0
TRINITY_DN237612_c0_g2	1	1	0	0
TRINITY_DN237696_c3_g10	1	1	0	0
TRINITY_DN237744_c0_g1	1	1	0	0
TRINITY_DN237744_c0_g2	1	1	0	0
TRINITY_DN238365_c0_g1	1	1	0	0
TRINITY_DN238365_c0_g2	1	1	0	0
TRINITY_DN238413_c0_g2	1	1	0	0
TRINITY_DN238428_c0_g1	1	1	0	0
TRINITY_DN238484_c0_g1	1	1	0	0
TRINITY_DN238624_c0_g1	1	1	0	0
TRINITY_DN238725_c0_g1	1	1	0	0
TRINITY_DN239034_c0_g1	1	1	0	0
TRINITY_DN239247_c0_g2	1	1	0	0
TRINITY_DN239278_c0_g1	1	1	0	0
TRINITY_DN239589_c0_g1	1	1	0	0
TRINITY_DN239589_c0_g3	1	1	0	0
TRINITY_DN239849_c0_g1	1	1	0	0
TRINITY_DN239849_c0_g2	1	1	0	0
TRINITY_DN239849_c0_g3	1	1	0	0
TRINITY_DN239911_c0_g1	1	1	0	0
TRINITY_DN239931_c0_g2	1	1	0	0
TRINITY_DN240158_c0_g1	1	1	0	0
TRINITY_DN240322_c0_g1	1	1	0	0
TRINITY_DN240407_c0_g1	1	1	0	0
TRINITY_DN240429_c0_g2	1	1	0	0
TRINITY_DN240474_c0_g1	1	1	0	0
TRINITY_DN240592_c1_g1	1	1	0	0
TRINITY_DN240667_c1_g1	1	1	0	0
TRINITY_DN240792_c1_g1	1	1	0	0
TRINITY_DN240885_c0_g1	1	1	0	0
TRINITY_DN240885_c0_g3	1	1	0	0
TRINITY_DN240901_c0_g1	1	1	0	0
TRINITY_DN241009_c0_g1	1	1	0	0
TRINITY_DN241038_c0_g1	1	1	0	0
TRINITY_DN241151_c0_g1	1	1	0	0
TRINITY_DN241165_c0_g1	1	1	0	0
TRINITY_DN241246_c0_g1	1	1	0	0
TRINITY_DN241246_c0_g2	1	1	0	0
TRINITY_DN241254_c0_g1	1	1	0	0
